unification	341	2016-06-09 00:39:01.000000	2016-06-09 00:39:01.000000	false	false	19
development	1	2016-01-19 14:39:52.000000	2016-01-19 14:39:52.000000	false	false	18
seeking	123	2016-01-25 09:02:25.000000	2016-01-25 09:02:25.000000	false	false	18
defeat	240	2016-02-08 09:42:39.000000	2016-02-08 09:42:39.000000	false	false	18
item	4	2016-01-19 14:41:00.000000	2016-01-19 14:41:00.000000	false	false	18
requires	5	2016-01-19 17:28:24.000000	2016-01-19 17:28:24.000000	false	false	18
outcomes	241	2016-02-08 12:19:40.000000	2016-02-08 12:19:40.000000	false	false	18
width	3	2016-01-19 14:40:43.000000	2016-01-19 14:40:43.000000	false	false	18
length	7	2016-01-19 17:32:47.000000	2016-01-19 17:32:47.000000	false	false	18
thunder	8	2016-01-19 18:52:29.000000	2016-01-19 18:52:29.000000	false	false	18
indeed	11	2016-01-19 18:54:34.000000	2016-01-19 18:54:34.000000	false	false	18
mighty	12	2016-01-20 19:38:09.000000	2016-01-20 19:38:09.000000	false	false	18
desired	13	2016-01-20 19:40:23.000000	2016-01-20 19:40:23.000000	false	false	18
feminine	15	2016-01-20 19:41:48.000000	2016-01-20 19:41:48.000000	false	false	18
masculine	16	2016-01-20 19:42:23.000000	2016-01-20 19:42:23.000000	false	false	18
digest	17	2016-01-20 19:42:53.000000	2016-01-20 19:42:53.000000	false	false	18
round	19	2016-01-20 19:43:59.000000	2016-01-20 19:43:59.000000	false	false	18
indecisive	21	2016-01-20 19:51:40.000000	2016-01-20 19:51:40.000000	false	false	18
estimate	22	2016-01-20 19:59:34.000000	2016-01-20 19:59:34.000000	false	false	18
various	23	2016-01-20 20:01:42.000000	2016-01-20 20:01:42.000000	false	false	18
partial	24	2016-01-20 20:04:11.000000	2016-01-20 20:04:11.000000	false	false	18
artificial	26	2016-01-20 20:08:48.000000	2016-01-20 20:08:48.000000	false	false	18
thumbs	97	2016-01-24 17:36:58.000000	2016-01-24 17:36:58.000000	false	false	18
idleness	164	2016-01-26 14:38:50.000000	2016-02-09 15:52:43.000000	true	false	18
additional	242	2016-02-09 16:05:53.000000	2016-02-09 16:05:53.000000	false	false	18
lonesome	243	2016-02-09 16:10:34.000000	2016-02-09 16:10:34.000000	false	false	18
paths	28	2016-01-21 08:45:11.000000	2016-01-21 08:45:11.000000	false	false	18
rejected	32	2016-01-21 09:44:55.000000	2016-01-21 09:44:55.000000	false	false	18
assigned	34	2016-01-21 09:49:47.000000	2016-01-21 09:49:47.000000	false	false	18
withdraw	36	2016-01-21 10:20:42.000000	2016-01-21 10:20:42.000000	false	false	18
distribute	41	2016-01-21 10:36:52.000000	2016-01-21 10:36:52.000000	false	false	18
durability	43	2016-01-21 10:41:26.000000	2016-01-21 10:41:26.000000	false	false	18
rollback	44	2016-01-21 10:43:59.000000	2016-01-21 10:43:59.000000	false	false	18
took off	47	2016-01-21 11:04:26.000000	2016-01-21 11:04:26.000000	false	false	18
quit	53	2016-01-21 12:02:32.000000	2016-01-21 12:02:32.000000	false	false	18
matchmaking	54	2016-01-21 12:04:45.000000	2016-01-21 12:04:45.000000	false	false	18
appendixes	55	2016-01-21 13:52:28.000000	2016-01-21 13:52:28.000000	false	false	18
imminent	98	2016-01-24 17:37:43.000000	2016-01-24 17:37:43.000000	false	false	18
difficult	100	2016-01-24 17:38:46.000000	2016-01-24 17:38:46.000000	false	false	18
thick	101	2016-01-24 17:39:01.000000	2016-01-24 17:39:01.000000	false	false	18
carriers	70	2016-01-24 13:01:58.000000	2016-01-25 10:10:44.000000	true	false	18
altogether	10	2016-01-19 18:54:04.000000	2016-01-24 17:56:38.000000	true	false	18
enhance	14	2016-01-20 19:41:02.000000	2016-01-20 19:41:02.000000	true	false	18
source	20	2016-01-20 19:44:37.000000	2016-01-20 21:16:09.000000	false	false	18
disgraceful	57	2016-01-24 12:50:24.000000	2016-01-24 12:50:24.000000	false	false	18
mosquito	59	2016-01-24 12:52:54.000000	2016-01-24 12:52:54.000000	false	false	18
wrinkles	60	2016-01-24 12:53:49.000000	2016-01-24 12:53:49.000000	false	false	18
alter	61	2016-01-24 12:54:27.000000	2016-01-24 12:54:27.000000	false	false	18
unlikely	63	2016-01-24 12:55:34.000000	2016-01-24 12:55:34.000000	false	false	18
contagious	65	2016-01-24 12:57:24.000000	2016-01-24 12:57:24.000000	false	false	18
serious	66	2016-01-24 12:57:53.000000	2016-01-24 12:57:53.000000	false	false	18
hereditary	67	2016-01-24 13:00:06.000000	2016-01-24 13:00:06.000000	false	false	18
surgery	68	2016-01-24 13:00:46.000000	2016-01-24 13:00:46.000000	false	false	18
tissue	69	2016-01-24 13:01:16.000000	2016-01-24 13:01:16.000000	false	false	18
sincerely	73	2016-01-24 16:38:34.000000	2016-01-24 16:38:34.000000	false	false	18
that suits me	74	2016-01-24 16:39:27.000000	2016-01-24 16:39:27.000000	false	false	18
amateur	78	2016-01-24 16:41:32.000000	2016-01-24 16:41:32.000000	false	false	18
forward	79	2016-01-24 16:41:49.000000	2016-01-24 16:41:49.000000	false	false	18
to get on	80	2016-01-24 16:42:29.000000	2016-01-24 16:42:29.000000	false	false	18
catch up	81	2016-01-24 16:43:03.000000	2016-01-24 16:43:03.000000	false	false	18
get together	82	2016-01-24 16:43:41.000000	2016-01-24 16:43:41.000000	false	false	18
neighbours	83	2016-01-24 16:44:17.000000	2016-01-24 16:44:17.000000	false	false	18
explore	84	2016-01-24 16:45:09.000000	2016-01-24 16:45:09.000000	false	false	18
upside down	85	2016-01-24 16:46:29.000000	2016-01-24 16:46:29.000000	false	false	18
melted	86	2016-01-24 16:47:08.000000	2016-01-24 16:47:08.000000	false	false	18
crack	87	2016-01-24 16:49:09.000000	2016-01-24 16:49:09.000000	false	false	18
inside out	88	2016-01-24 16:50:09.000000	2016-01-24 16:50:09.000000	false	false	18
suspicious	90	2016-01-24 16:51:11.000000	2016-01-24 16:51:11.000000	false	false	18
immortality	91	2016-01-24 17:32:15.000000	2016-01-24 17:32:15.000000	false	false	18
overcrowded	92	2016-01-24 17:33:43.000000	2016-01-24 17:33:43.000000	false	false	18
eradicate	94	2016-01-24 17:34:50.000000	2016-01-24 17:34:50.000000	false	false	18
back then	95	2016-01-24 17:35:19.000000	2016-01-24 17:35:19.000000	false	false	18
regardless	42	2016-01-21 10:40:52.000000	2016-01-26 12:55:00.000000	true	false	18
load up	29	2016-01-21 08:51:57.000000	2016-01-26 12:54:39.000000	true	false	18
delighted	76	2016-01-24 16:40:31.000000	2016-01-24 17:54:15.000000	true	false	18
even	18	2016-01-20 19:43:16.000000	2016-01-24 17:52:44.000000	true	false	18
effort	30	2016-01-21 09:41:34.000000	2016-01-24 17:55:54.000000	true	false	18
arbitary	115	2016-01-25 08:44:10.000000	2016-01-25 10:09:32.000000	true	false	18
vendors	9	2016-01-19 18:53:10.000000	2016-01-24 17:59:57.000000	true	false	18
either	46	2016-01-21 11:00:50.000000	2016-01-24 17:57:20.000000	true	false	18
burglary	58	2016-01-24 12:51:10.000000	2016-01-24 18:04:03.000000	true	false	18
updatable	33	2016-01-21 09:47:42.000000	2016-01-24 18:00:11.000000	true	false	18
embryos	93	2016-01-24 17:34:17.000000	2016-01-24 18:02:09.000000	true	false	18
certain people	102	2016-01-25 08:30:59.000000	2016-01-25 08:30:59.000000	false	false	18
vulnerable	51	2016-01-21 11:53:51.000000	2016-01-24 18:03:25.000000	true	false	18
uneven	106	2016-01-25 08:34:13.000000	2016-01-25 08:34:13.000000	false	false	18
enchance	103	2016-01-25 08:31:35.000000	2016-01-25 08:31:35.000000	false	false	18
luckier	105	2016-01-25 08:32:51.000000	2016-01-25 08:32:51.000000	false	false	18
spouse	109	2016-01-25 08:36:30.000000	2016-01-25 08:36:30.000000	false	false	18
stain	112	2016-01-25 08:42:09.000000	2016-01-25 08:42:09.000000	false	false	18
outgrow	116	2016-01-25 08:45:02.000000	2016-01-25 08:45:02.000000	false	false	18
granted	52	2016-01-21 11:58:51.000000	2016-01-25 10:09:52.000000	true	false	18
exaggeration	96	2016-01-24 17:36:20.000000	2016-01-26 12:57:38.000000	true	false	18
indoor	107	2016-01-25 08:35:08.000000	2016-01-26 12:59:13.000000	true	false	18
spoil	99	2016-01-24 17:38:18.000000	2016-01-26 13:04:35.000000	true	false	18
interference	40	2016-01-21 10:36:16.000000	2016-01-26 13:04:21.000000	true	false	18
arrow	119	2016-01-25 08:59:49.000000	2016-01-25 08:59:49.000000	false	false	18
constraint	120	2016-01-25 09:00:22.000000	2016-01-25 09:00:22.000000	false	false	18
meaningfull	121	2016-01-25 09:01:06.000000	2016-01-25 09:01:06.000000	false	false	18
advantage	122	2016-01-25 09:01:42.000000	2016-01-25 09:01:42.000000	false	false	18
redundant	117	2016-01-25 08:45:40.000000	2016-02-22 17:59:47.000000	true	false	18
overdrawn	38	2016-01-21 10:23:42.000000	2016-01-27 09:46:17.000000	true	false	18
torn	89	2016-01-24 16:50:30.000000	2016-02-22 17:54:55.000000	true	false	18
tally	37	2016-01-21 10:21:17.000000	2016-02-22 17:58:09.000000	true	false	18
well-being	104	2016-01-25 08:32:30.000000	2016-01-27 18:45:54.000000	true	false	18
resemble	62	2016-01-24 12:55:03.000000	2016-01-27 09:48:02.000000	true	false	18
including	75	2016-01-24 16:40:03.000000	2016-02-09 16:01:46.000000	true	false	18
shrunk	113	2016-01-25 08:42:45.000000	2016-01-27 13:18:05.000000	true	false	18
issued	45	2016-01-21 10:58:50.000000	2016-01-27 13:20:06.000000	true	false	18
influence	110	2016-01-25 08:37:11.000000	2016-01-27 13:20:30.000000	true	false	18
to run	50	2016-01-21 11:20:05.000000	2016-01-27 18:43:54.000000	true	false	18
distant	72	2016-01-24 16:38:01.000000	2016-02-10 13:05:14.000000	true	false	18
chores	49	2016-01-21 11:19:33.000000	2016-02-10 13:13:28.000000	true	false	18
absence	114	2016-01-25 08:43:35.000000	2016-02-09 15:51:09.000000	true	false	18
devoted	2	2016-01-19 14:40:22.000000	2016-02-09 16:02:01.000000	true	false	18
indefinitely	64	2016-01-24 12:56:34.000000	2016-02-10 11:44:25.000000	true	false	18
maintain	35	2016-01-21 09:51:58.000000	2016-02-10 13:00:44.000000	true	false	18
assign	25	2016-01-20 20:06:15.000000	2016-02-10 13:05:24.000000	true	false	18
behalf	77	2016-01-24 16:41:08.000000	2016-02-10 13:06:39.000000	true	false	18
consist	39	2016-01-21 10:34:01.000000	2016-02-22 15:58:40.000000	true	false	18
embrase	111	2016-01-25 08:38:10.000000	2016-02-10 13:08:18.000000	true	false	18
root	48	2016-01-21 11:11:15.000000	2016-02-10 13:16:26.000000	true	false	18
violate	6	2016-01-19 17:32:16.000000	2016-02-22 18:02:09.000000	true	false	18
parentheses	124	2016-01-25 09:02:57.000000	2016-01-25 09:02:57.000000	false	false	18
purchase	125	2016-01-25 09:03:34.000000	2016-01-25 09:03:34.000000	false	false	18
reverse	128	2016-01-25 09:06:06.000000	2016-01-25 09:06:06.000000	false	false	18
decide	129	2016-01-25 09:06:35.000000	2016-01-25 09:06:35.000000	false	false	18
features	130	2016-01-25 09:07:21.000000	2016-01-25 09:07:21.000000	false	false	18
liar	131	2016-01-25 09:07:36.000000	2016-01-25 09:07:36.000000	false	false	18
laundry	132	2016-01-25 09:08:14.000000	2016-01-25 09:08:14.000000	false	false	18
fortress	133	2016-01-25 09:08:43.000000	2016-01-25 09:08:43.000000	false	false	18
bullet	134	2016-01-25 09:09:12.000000	2016-01-25 09:09:12.000000	false	false	18
profanity	126	2016-01-25 09:04:38.000000	2016-01-25 10:08:15.000000	true	false	18
rejuvenate	138	2016-01-25 19:06:32.000000	2016-01-25 19:06:32.000000	false	false	18
life expectancy	140	2016-01-25 19:08:32.000000	2016-01-25 19:08:32.000000	false	false	18
gap	141	2016-01-25 19:08:58.000000	2016-01-25 19:08:58.000000	false	false	18
choke	142	2016-01-25 20:06:04.000000	2016-01-25 20:06:04.000000	false	false	18
dizzy	143	2016-01-25 20:10:37.000000	2016-01-25 20:10:37.000000	false	false	18
faint	144	2016-01-25 20:20:14.000000	2016-01-25 20:20:14.000000	false	false	18
stem cells	146	2016-01-26 12:26:01.000000	2016-01-26 12:26:01.000000	false	false	18
smallpox	147	2016-01-26 12:27:04.000000	2016-01-26 12:27:04.000000	false	false	18
polio	148	2016-01-26 12:28:06.000000	2016-01-26 12:28:06.000000	false	false	18
through	151	2016-01-26 12:31:03.000000	2016-01-26 12:31:03.000000	false	false	18
inherit	152	2016-01-26 12:31:46.000000	2016-01-26 12:31:46.000000	false	false	18
value	153	2016-01-26 12:32:37.000000	2016-01-26 12:32:37.000000	false	false	18
far above	154	2016-01-26 12:33:22.000000	2016-01-26 12:33:22.000000	false	false	18
fulfilment	155	2016-01-26 12:34:26.000000	2016-01-26 12:34:26.000000	false	false	18
suitable	156	2016-01-26 12:37:30.000000	2016-01-26 12:37:30.000000	false	false	18
bone marrow	157	2016-01-26 12:38:15.000000	2016-01-26 12:38:15.000000	false	false	18
fulfil	158	2016-01-26 12:39:15.000000	2016-01-26 12:39:15.000000	false	false	18
courts	159	2016-01-26 12:39:59.000000	2016-01-26 12:39:59.000000	false	false	18
set off	160	2016-01-26 12:41:02.000000	2016-01-26 12:41:02.000000	false	false	18
argue	161	2016-01-26 12:42:26.000000	2016-01-26 12:42:26.000000	false	false	18
opposed	162	2016-01-26 12:43:04.000000	2016-01-26 12:43:04.000000	false	false	18
hiking	118	2016-01-25 08:46:22.000000	2016-01-26 12:56:03.000000	true	false	18
reference	56	2016-01-21 13:56:15.000000	2016-01-27 09:40:40.000000	true	false	18
loops	198	2016-02-05 12:14:50.000000	2016-02-05 12:14:50.000000	false	false	18
increments	199	2016-02-05 13:02:11.000000	2016-02-05 13:02:11.000000	false	false	18
peanuts	200	2016-02-05 13:17:22.000000	2016-02-05 13:17:22.000000	false	false	18
reaches	201	2016-02-05 14:41:34.000000	2016-02-05 14:41:34.000000	false	false	18
witty	202	2016-02-07 12:10:23.000000	2016-02-07 12:10:23.000000	false	false	18
label	127	2016-01-25 09:05:31.000000	2016-01-27 09:47:27.000000	true	false	18
forecaster	170	2016-01-27 10:33:21.000000	2016-01-27 10:33:21.000000	false	false	18
